from_state,to_state,action
cf1ede,cf1ede/e199e6,intent am start com.amazon.mShop.android.shopping/com.amazon.mShop.home.HomeActivity
cf1ede/e199e6,cf1ede/e199e6,"touch <p bound_box=108,694,504,759>View your wish list</p>"
cf1ede/e199e6,cf1ede/4d6552,"touch <button bound_box=48,1315,1032,1432>Skip sign in</button>"
cf1ede/4d6552,cf1ede/4d6552,"scroll down <scrollbar id=4 bound_box=0,252,1080,1632>Webpage not available</scrollbar>"
cf1ede/4d6552,cf1ede/c73bdc,"touch <p id=1 alt='Search' bound_box=66,126,138,198></p>"
cf1ede/c73bdc,cf1ede/a63ea2,"touch <input bound_box=258,81,1047,225>Search Amazon</input>"
cf1ede/a63ea2,cf1ede/a63ea2,"scroll up <scrollbar id=4 bound_box=0,228,1080,252></scrollbar>"
cf1ede/a63ea2,cf1ede/cc29eb,"set_text <input bound_box=258,81,1047,225>Search Amazon</input> dummy_user_input"
cf1ede/cc29eb,cf1ede/cc29eb,"scroll down <scrollbar id=4 bound_box=0,228,1080,252></scrollbar>"
cf1ede/cc29eb,cf1ede/cc29eb,"scroll up <scrollbar id=4 bound_box=0,228,1080,252></scrollbar>"
cf1ede/cc29eb,cf1ede/cc29eb,"touch <p alt='Search' bound_box=162,114,234,186></p>"
cf1ede/cc29eb,cf1ede/cc29eb,"long_touch <input bound_box=258,81,1047,225>dummy_user_input</input>"
cf1ede/cc29eb,cf1ede/cc29eb,"touch <input bound_box=258,81,1047,225>dummy_user_input</input>"
cf1ede/cc29eb,cf1ede/a63ea2,"touch <button alt='Clear search keywords' bound_box=942,81,1047,225></button>"
cf1ede/a63ea2,cf1ede/f00db7,"touch <button alt='scan it' bound_box=933,121,1047,175></button>"
cf1ede/f00db7,cf1ede/f00db7,"long_touch <button bound_box=45,1315,1035,1496>By continuing to use the camera in the Amazon App </button>"
cf1ede/f00db7,cf1ede/f00db7,"touch <p bound_box=45,1146,1035,1255>Use camera to scan barcodes, find pantry, health &</p>"
cf1ede/f00db7,cf1ede/f00db7,"touch <button bound_box=45,1315,1035,1496>By continuing to use the camera in the Amazon App </button>"
cf1ede/f00db7,cf1ede/f00db7,"touch <p alt='Use camera to scan barcodes, find pantry, health & beauty products.' bound_box=45,830,1035,1116></p>"
