from_state,to_state,action
08b900,08b900/b90c6c,intent am start com.clowder.sh/me.pinxter.core_clowder.kotlin.other.ui.ActivitySplash
08b900,08b900/b90c6c,intent am start com.clowder.sh/me.pinxter.core_clowder.kotlin.other.ui.ActivitySplash
08b900,08b900/b90c6c,intent am start com.clowder.sh/me.pinxter.core_clowder.kotlin.other.ui.ActivitySplash
08b900,08b900/b90c6c,intent am start com.clowder.sh/me.pinxter.core_clowder.kotlin.other.ui.ActivitySplash
08b900,08b900/81f41a,intent am start com.clowder.sh/me.pinxter.core_clowder.kotlin.other.ui.ActivitySplash
08b900/81f41a,08b900/0827e9,"touch <button bound_box=90,1285,990,1429>LOG IN TO YOUR ACCOUNT</button>"
08b900/0827e9,08b900/0827e9,"unselect <checkbox alt='description' bound_box=888,675,1032,843></checkbox>"
08b900/0827e9,08b900/38150f,"select <checkbox alt='description' bound_box=888,675,1032,843></checkbox>"
08b900/38150f,08b900/38150f,"long_touch <input bound_box=48,675,1032,844>Password</input>"
08b900/38150f,08b900/38150f,"touch <p bound_box=216,116,912,197>Log in</p>"
08b900/38150f,08b900/38150f,"long_touch <input bound_box=48,417,1032,586>Email</input>"
08b900/38150f,08b900/0e99d5,"set_text <input bound_box=48,417,1032,586>Email</input> dummy_user_input"
08b900/0e99d5,08b900/0e99d5,"long_touch <button bound_box=48,893,1032,1010>By clicking Log in you agree to SH's Privacy Polic</button>"
08b900/0e99d5,08b900/0e99d5,"touch <input bound_box=48,417,1032,586>dummy_user_input</input>"
08b900/0e99d5,08b900/ce5cf2,"touch <button bound_box=368,1232,711,1289>Forgot Password?</button>"
08b900/ce5cf2,08b900/badeb6,"touch <button bound_box=48,694,1032,838>RESTORE</button>"
08b900/badeb6,08b900/3d5ff5,"set_text <input bound_box=48,476,1032,645>Email</input> dummy_user_input"
08b900/3d5ff5,08b900/3d5ff5,"touch <input bound_box=48,476,1032,645>dummy_user_input</input>"
08b900/3d5ff5,08b900/3d5ff5,"touch <p bound_box=84,645,461,694>Email can not be empty</p>"
08b900/3d5ff5,08b900/3d5ff5,"touch <p bound_box=216,116,912,197>Restore Password</p>"
08b900/3d5ff5,08b900/3d5ff5,"long_touch <input bound_box=48,476,1032,645>dummy_user_input</input>"
08b900/3d5ff5,08b900/3d5ff5,"touch <p bound_box=48,306,1032,412>The instructions will be sent to the specified ema</p>"
08b900/3d5ff5,08b900/3d5ff5,"set_text <input bound_box=48,476,1032,645>dummy_user_input</input> dummy_user_input"
08b900/3d5ff5,08b900/51f2bd,"touch <button bound_box=48,694,1032,838>RESTORE</button>"
08b900/51f2bd,08b900,kill_app
08b900,08b900/72dd87,intent am start com.clowder.sh/me.pinxter.core_clowder.kotlin.other.ui.ActivitySplash
08b900/72dd87,08b900/29cd16,"touch <button bound_box=339,1477,742,1542>CREATE ACCOUNT</button>"
08b900/29cd16,08b900/29cd16,"long_touch <input bound_box=48,580,1032,749>Password</input>"
08b900/29cd16,08b900/29cd16,"long_touch <input bound_box=48,322,1032,491>Email</input>"
08b900/29cd16,08b900/29cd16,"touch <p bound_box=216,116,912,197>Sign Up</p>"
08b900/29cd16,08b900/29cd16,"touch <input bound_box=48,322,1032,491>Email</input>"
08b900/29cd16,08b900/29cd16,"touch <input bound_box=48,580,1032,749>Password</input>"
08b900/29cd16,08b900/29cd16,"unselect <checkbox alt='description' bound_box=888,580,1032,748></checkbox>"
08b900/29cd16,08b900/b4f7f8,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/b4f7f8,08b900/b4f7f8,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/b4f7f8,08b900/b4f7f8,"touch <button bound_box=48,798,1032,915>By clicking Sign Up you agree to SH's Privacy Poli</button>"
08b900/b4f7f8,08b900/b4f7f8,"long_touch <button bound_box=48,798,1032,915>By clicking Sign Up you agree to SH's Privacy Poli</button>"
08b900/b4f7f8,08b900/b4f7f8,"long_touch <input bound_box=48,580,1032,749>Password</input>"
08b900/b4f7f8,08b900/b4f7f8,"touch <input bound_box=48,580,1032,749>Password</input>"
08b900/b4f7f8,08b900/b4f7f8,"touch <p bound_box=84,491,461,540>Email can not be empty</p>"
08b900/b4f7f8,08b900/b4f7f8,"touch <p bound_box=84,749,532,798>Password can not be empty</p>"
08b900/b4f7f8,08b900/75f9e3,"set_text <input bound_box=48,580,1032,749>Password</input> dummy_user_input"
08b900/75f9e3,08b900/75f9e3,"long_touch <input bound_box=48,580,1032,749>dummy_user_input</input>"
08b900/75f9e3,08b900/652978,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/652978,08b900/652978,"long_touch <button bound_box=48,798,1032,915>By clicking Sign Up you agree to SH's Privacy Poli</button>"
08b900/652978,08b900/652978,"set_text <input bound_box=48,322,1032,491>dummy_user_input</input> dummy_user_input"
08b900/652978,08b900/652978,"long_touch <input bound_box=48,322,1032,491>dummy_user_input</input>"
08b900/652978,08b900/c05850,"select <checkbox alt='description' bound_box=888,580,1032,748></checkbox>"
08b900/c05850,08b900/c05850,"touch <input bound_box=48,322,1032,491>dummy_user_input</input>"
08b900/c05850,08b900/c05850,"touch <input bound_box=48,580,1032,749>dummy_user_input</input>"
08b900/c05850,08b900/c05850,"long_touch <input bound_box=48,580,1032,749>dummy_user_input</input>"
08b900/c05850,08b900/c05850,"set_text <input bound_box=48,580,1032,749>dummy_user_input</input> dummy_user_input"
08b900/c05850,08b900/c05850,"touch <button bound_box=48,798,1032,915>By clicking Sign Up you agree to SH's Privacy Poli</button>"
08b900/c05850,08b900/a096d6,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/a096d6,08b900/a096d6,"touch <input bound_box=48,580,1032,749>dummy_user_input</input>"
08b900/a096d6,08b900/a096d6,"touch <p bound_box=216,116,912,197>Sign Up</p>"
08b900/a096d6,08b900/a096d6,"touch <input bound_box=48,616,1032,785>Last Name *</input>"
08b900/a096d6,08b900/b9a01a,"set_text <input bound_box=48,979,1032,1148>(None selected)</input> dummy_user_input"
08b900/b9a01a,08b900/b9a01a,"touch <button bound_box=48,1416,960,1563>Missouri: Fire Service</button>"
08b900/b9a01a,08b900/b9a01a,"touch <button bound_box=48,681,960,828>Indiana: Law Enforcement</button>"
08b900/b9a01a,08b900/b9a01a,"touch <button bound_box=48,1269,960,1416>Missouri: EMS</button>"
08b900/b9a01a,08b900/b9a01a,"touch <button bound_box=48,1710,960,1776>Nationwide: Large-Scale Incidents</button>"
08b900/b9a01a,08b900/b9a01a,"scroll down <scrollbar bound_box=0,240,1080,1776></scrollbar>"
08b900/b9a01a,08b900/b9a01a,"touch <button bound_box=48,828,960,975>Kentucky: EMS</button>"
08b900/b9a01a,08b900/b9a01a,"touch <button bound_box=48,975,960,1122>Kentucky: Fire Service</button>"
08b900/b9a01a,08b900/b9a01a,"touch <p bound_box=216,116,792,197>line-of-duty death</p>"
08b900/b9a01a,08b900/b9a01a,"scroll up <scrollbar bound_box=0,240,1080,1776></scrollbar>"
08b900/b9a01a,08b900,kill_app
